Value,Label
X4PAR1OCC_I,"1: EXECUTIVE, ADMIN, MANAGERIAL OCCUPATION"
X4PAR1OCC_I,"2: ENGINEERS, SURVEYORS, & ARCHITECTS"
X4PAR1OCC_I,3: NATURAL SCIENTISTS & MATHEMATICIANS
X4PAR1OCC_I,"4: SOCIAL SCIENTIST/WORKERS, LAWYERS"
X4PAR1OCC_I,"5: UNIVERSITY TEACHERS, POSTSECONDARY COUNSELORS, LIBRARIANS"
X4PAR1OCC_I,"6: TEACHER, EXCEPT POSTSECONDARY"
X4PAR1OCC_I,"7: PHYSICIANS, DENTISTS, VETERINARIANS"
X4PAR1OCC_I,"8: REGISTERED NURSES, PHARMACISTS"
X4PAR1OCC_I,"9: WRITERS, ARTISTS, ENTERTAINERS, ATHLETES"
X4PAR1OCC_I,10: HEALTH TECHNOLOGISTS & TECHNICIANS
X4PAR1OCC_I,"11: TECHNOLOGISTS, EXCEPT HEALTH"
X4PAR1OCC_I,12: MARKETING & SALES OCCUPATION
X4PAR1OCC_I,"13: ADMINISTRATIVE SUPPORT, INCLUDING CLERK"
X4PAR1OCC_I,14: SERVICE OCCUPATIONS
X4PAR1OCC_I,"15: AGRICULTURE, FORESTRY, FISHING OCCUPATIONS"
X4PAR1OCC_I,16: MECHANICS & REPAIRERS
X4PAR1OCC_I,17: CONSTRUCTION & EXTRACTIVE OCCUPATIONS
X4PAR1OCC_I,18: PRECISION PRODUCTION OCCUPATION
X4PAR1OCC_I,19: PRODUCTION WORKING OCCUPATION
X4PAR1OCC_I,"20: TRANSPORTATION, MATERIAL MOVING"
X4PAR1OCC_I,"21: HANDLER, EQUIP, CLEANER, HELPERS, LABOR"
X4PAR1OCC_I,22: UNEMPLOYED/RETIRED/DISABLED/UNCLASSIFIED
X1PAR1OCC_I,-9: NOT ASCERTAINED
X1PAR1OCC_I,-1: NO OCCUPATION
X1PAR1OCC_I,"1: EXECUTIVE, ADMIN, MANAGERIAL OCCUPATION"
X1PAR1OCC_I,"2: ENGINEERS, SURVEYORS, & ARCHITECTS"
X1PAR1OCC_I,3: NATURAL SCIENTISTS & MATHEMATICIANS
X1PAR1OCC_I,"4: SOCIAL SCIENTIST/WORKERS, LAWYERS"
X1PAR1OCC_I,"5: UNIVERSITY TEACHERS, POSTSECONDARY COUNSELORS, LIBRARIANS"
X1PAR1OCC_I,"6: TEACHER, EXCEPT POSTSECONDARY"
X1PAR1OCC_I,"7: PHYSICIANS, DENTISTS, VETERINARIANS"
X1PAR1OCC_I,"8: REGISTERED NURSES, PHARMACISTS"
X1PAR1OCC_I,"9: WRITERS, ARTISTS, ENTERTAINERS, ATHLETES"
X1PAR1OCC_I,10: HEALTH TECHNOLOGISTS & TECHNICIANS
X1PAR1OCC_I,"11: TECHNOLOGISTS, EXCEPT HEALTH"
X1PAR1OCC_I,12: MARKETING & SALES OCCUPATION
X1PAR1OCC_I,"13: ADMINISTRATIVE SUPPORT, INCLUDING CLERK"
X1PAR1OCC_I,14: SERVICE OCCUPATIONS
X1PAR1OCC_I,"15: AGRICULTURE, FORESTRY, FISHING OCCUPATIONS"
X1PAR1OCC_I,16: MECHANICS & REPAIRERS
X1PAR1OCC_I,17: CONSTRUCTION & EXTRACTIVE OCCUPATIONS
X1PAR1OCC_I,18: PRECISION PRODUCTION OCCUPATION
X1PAR1OCC_I,19: PRODUCTION WORKING OCCUPATION
X1PAR1OCC_I,"20: TRANSPORTATION, MATERIAL MOVING"
X1PAR1OCC_I,"21: HANDLER, EQUIP, CLEANER, HELPERS, LABOR"
X1PAR1OCC_I,22: UNEMPLOYED/RETIRED/DISABLED/UNCLASSIFIED
X6PAR2OCC_I,-9: NOT ASCERTAINED
X6PAR2OCC_I,-1: NO OCCUPATION OR NO PARENT 2
X6PAR2OCC_I,"1: EXECUTIVE, ADMIN, MANAGERIAL OCCUPATION"
X6PAR2OCC_I,"2: ENGINEERS, SURVEYORS, & ARCHITECTS"
X6PAR2OCC_I,3: NATURAL SCIENTISTS & MATHEMATICIANS
X6PAR2OCC_I,"4: SOCIAL SCIENTIST/WORKERS, LAWYERS"
X6PAR2OCC_I,"5: UNIVERSITY TEACHERS, POSTSECONDARY COUNSELORS, LIBRARIANS"
X6PAR2OCC_I,"6: TEACHER, EXCEPT POSTSECONDARY"
X6PAR2OCC_I,"7: PHYSICIANS, DENTISTS, VETERINARIANS"
X6PAR2OCC_I,"8: REGISTERED NURSES, PHARMACISTS"
X6PAR2OCC_I,"9: WRITERS, ARTISTS, ENTERTAINERS, ATHLETES"
X6PAR2OCC_I,10: HEALTH TECHNOLOGISTS & TECHNICIANS
X6PAR2OCC_I,"11: TECHNOLOGISTS, EXCEPT HEALTH"
X6PAR2OCC_I,12: MARKETING & SALES OCCUPATION
X6PAR2OCC_I,"13: ADMINISTRATIVE SUPPORT, INCLUDING CLERK"
X6PAR2OCC_I,14: SERVICE OCCUPATIONS
X6PAR2OCC_I,"15: AGRICULTURE, FORESTRY, FISHING OCCUPATIONS"
X6PAR2OCC_I,16: MECHANICS & REPAIRERS
X6PAR2OCC_I,17: CONSTRUCTION & EXTRACTIVE OCCUPATIONS
X6PAR2OCC_I,18: PRECISION PRODUCTION OCCUPATION
X6PAR2OCC_I,19: PRODUCTION WORKING OCCUPATION
X6PAR2OCC_I,"20: TRANSPORTATION, MATERIAL MOVING"
X6PAR2OCC_I,"21: HANDLER, EQUIP, CLEANER, HELPERS, LABOR"
X6PAR2OCC_I,22: UNEMPLOYED/RETIRED/DISABLED/UNCLASSIFIED
X4PAR2OCC_I,-9: NOT ASCERTAINED
X4PAR2OCC_I,-1: NO OCCUPATION OR NO PARENT 2
X4PAR2OCC_I,"1: EXECUTIVE, ADMIN, MANAGERIAL OCCUPATION"
X4PAR2OCC_I,"2: ENGINEERS, SURVEYORS, & ARCHITECTS"
X4PAR2OCC_I,3: NATURAL SCIENTISTS & MATHEMATICIANS
X4PAR2OCC_I,"4: SOCIAL SCIENTIST/WORKERS, LAWYERS"
X4PAR2OCC_I,"5: UNIVERSITY TEACHERS, POSTSECONDARY COUNSELORS, LIBRARIANS"
X4PAR2OCC_I,"6: TEACHER, EXCEPT POSTSECONDARY"
X4PAR2OCC_I,"7: PHYSICIANS, DENTISTS, VETERINARIANS"
X4PAR2OCC_I,"8: REGISTERED NURSES, PHARMACISTS"
X4PAR2OCC_I,"9: WRITERS, ARTISTS, ENTERTAINERS, ATHLETES"
X4PAR2OCC_I,10: HEALTH TECHNOLOGISTS & TECHNICIANS
X4PAR2OCC_I,"11: TECHNOLOGISTS, EXCEPT HEALTH"
X4PAR2OCC_I,12: MARKETING & SALES OCCUPATION
X4PAR2OCC_I,"13: ADMINISTRATIVE SUPPORT, INCLUDING CLERK"
X4PAR2OCC_I,14: SERVICE OCCUPATIONS
X4PAR2OCC_I,"15: AGRICULTURE, FORESTRY, FISHING OCCUPATIONS"
X4PAR2OCC_I,16: MECHANICS & REPAIRERS
X4PAR2OCC_I,17: CONSTRUCTION & EXTRACTIVE OCCUPATIONS
X4PAR2OCC_I,18: PRECISION PRODUCTION OCCUPATION
X4PAR2OCC_I,19: PRODUCTION WORKING OCCUPATION
X4PAR2OCC_I,"20: TRANSPORTATION, MATERIAL MOVING"
X4PAR2OCC_I,"21: HANDLER, EQUIP, CLEANER, HELPERS, LABOR"
X4PAR2OCC_I,22: UNEMPLOYED/RETIRED/DISABLED/UNCLASSIFIED
X1PAR2OCC_I,-9: NOT ASCERTAINED
X1PAR2OCC_I,-1: NO OCCUPATION OR NO PARENT 2
X1PAR2OCC_I,"1: EXECUTIVE, ADMIN, MANAGERIAL OCCUPATION"
X1PAR2OCC_I,"2: ENGINEERS, SURVEYORS, & ARCHITECTS"
X1PAR2OCC_I,3: NATURAL SCIENTISTS & MATHEMATICIANS
X1PAR2OCC_I,"4: SOCIAL SCIENTIST/WORKERS, LAWYERS"
X1PAR2OCC_I,"5: UNIVERSITY TEACHERS, POSTSECONDARY COUNSELORS, LIBRARIANS"
X1PAR2OCC_I,"6: TEACHER, EXCEPT POSTSECONDARY"
X1PAR2OCC_I,"7: PHYSICIANS, DENTISTS, VETERINARIANS"
X1PAR2OCC_I,"8: REGISTERED NURSES, PHARMACISTS"
X1PAR2OCC_I,"9: WRITERS, ARTISTS, ENTERTAINERS, ATHLETES"
X1PAR2OCC_I,10: HEALTH TECHNOLOGISTS & TECHNICIANS
X1PAR2OCC_I,"11: TECHNOLOGISTS, EXCEPT HEALTH"
X1PAR2OCC_I,12: MARKETING & SALES OCCUPATION
X1PAR2OCC_I,"13: ADMINISTRATIVE SUPPORT, INCLUDING CLERK"
X1PAR2OCC_I,14: SERVICE OCCUPATIONS
X1PAR2OCC_I,"15: AGRICULTURE, FORESTRY, FISHING OCCUPATIONS"
X1PAR2OCC_I,16: MECHANICS & REPAIRERS
X1PAR2OCC_I,17: CONSTRUCTION & EXTRACTIVE OCCUPATIONS
X1PAR2OCC_I,18: PRECISION PRODUCTION OCCUPATION
X1PAR2OCC_I,19: PRODUCTION WORKING OCCUPATION
X1PAR2OCC_I,"20: TRANSPORTATION, MATERIAL MOVING"
X1PAR2OCC_I,"21: HANDLER, EQUIP, CLEANER, HELPERS, LABOR"
X1PAR2OCC_I,22: UNEMPLOYED/RETIRED/DISABLED/UNCLASSIFIED
X6PAR1SCR_I,-9: NOT ASCERTAINED
X6PAR1SCR_I,-1: NOT APPLICABLE
X4PAR1SCR_I,-9: NOT ASCERTAINED
X4PAR1SCR_I,-1: NOT APPLICABLE
X1PAR1SCR_I,-9: NOT ASCERTAINED
X1PAR1SCR_I,-1: NOT APPLICABLE
X6DISTPOV,-9: NOT ASCERTAINED
X6DISTPOV,-1: NOT APPLICABLE
X4DISTPOV,-9: NOT ASCERTAINED
X4DISTPOV,-1: NOT APPLICABLE
X_DISTPOV,-9: NOT ASCERTAINED
X_DISTPOV,-1: NOT APPLICABLE
S2GIFNOG,-9: NOT ASCERTAINED
S2GIFNOG,-1: NOT APPLICABLE
S2GIFNOG,1: YES
S2GIFNOG,2: NO
S2GIFNO,-9: NOT ASCERTAINED
S2GIFNO,-1: NOT APPLICABLE
S2GIFNO,1: YES
S2GIFNO,2: NO
S4GIFNO,0: A GIFTED AND TALENTED PROGRAM IS OFFERED IN FIRST GRADE
S4GIFNO,1: A GIFTED AND TALENTED PROGRAM NOT OFFERED IN FIRST GRADE
S4GIFNOG,0: A GIFTED AND TALENTED PROGRAM IS OFFERED IN SOME/ALL GRADE(S)
S4GIFNOG,1: A GIFTED AND TALENTED PROGRAM  NOT OFFERED IN ANY GRADE
S6GIFNOG,0: IS A CUTOFF DATE FOR CHILD TO TURN FIVE TO ENTER KINDERGARTEN
S6GIFNOG,1: NO CUTOFF DATE FOR CHILD TO TURN FIVE TO ENTER KINDERGARTEN
S6GIFNO,0: IS A CUTOFF DATE FOR CHILD TO TURN FIVE TO ENTER KINDERGARTEN
S6GIFNO,1: NO CUTOFF DATE FOR CHILD TO TURN FIVE TO ENTER KINDERGARTEN
A1ATNDPR,-9: NOT ASCERTAINED
A1ATNDPR,1: STRONGLY DISAGREE
A1ATNDPR,2: DISAGREE
A1ATNDPR,3: NEITHER AGREE NOR DISAGREE
A1ATNDPR,4: AGREE
A1ATNDPR,5: STRONGLY AGREE
S6TTLPRE,-9: NOT ASCERTAINED
S6TTLPRE,-1: NOT APPLICABLE
S6TTLPRE,1: YES
S6TTLPRE,2: NO
S4TTLPRE,-9: NOT ASCERTAINED
S4TTLPRE,-1: NOT APPLICABLE
S4TTLPRE,1: YES
S4TTLPRE,2: NO
A1INKNDR,-9: NOT ASCERTAINED
A1INKNDR,1: YES
A1INKNDR,2: NO
A1VSTK,-9: NOT ASCERTAINED
A1VSTK,1: YES
A1VSTK,2: NO
A1SHRTN,-9: NOT ASCERTAINED
A1SHRTN,1: YES
A1SHRTN,2: NO
A1STAGGR,-9: NOT ASCERTAINED
A1STAGGR,1: YES
A1STAGGR,2: NO
A1PRNTOR,-9: NOT ASCERTAINED
A1PRNTOR,1: YES
A1PRNTOR,2: NO
A1HMEVST,-9: NOT ASCERTAINED
A1HMEVST,1: YES
A1HMEVST,2: NO
A1COMM,-9: NOT ASCERTAINED
A1COMM,1: NOT IMPORTANT
A1COMM,2: NOT VERY IMPORTANT
A1COMM,3: SOMEWHAT IMPORTANT
A1COMM,4: VERY IMPORTANT
A1COMM,5: ESSENTIAL
A1IDCOLO,-9: NOT ASCERTAINED
A1IDCOLO,1: NOT IMPORTANT
A1IDCOLO,2: NOT VERY IMPORTANT
A1IDCOLO,3: SOMEWHAT IMPORTANT
A1IDCOLO,4: VERY IMPORTANT
A1IDCOLO,5: ESSENTIAL
A1FOLWDR,-9: NOT ASCERTAINED
A1FOLWDR,1: NOT IMPORTANT
A1FOLWDR,2: NOT VERY IMPORTANT
A1FOLWDR,3: SOMEWHAT IMPORTANT
A1FOLWDR,4: VERY IMPORTANT
A1FOLWDR,5: ESSENTIAL
A1ALPHBT,-9: NOT ASCERTAINED
A1ALPHBT,1: NOT IMPORTANT
A1ALPHBT,2: NOT VERY IMPORTANT
A1ALPHBT,3: SOMEWHAT IMPORTANT
A1ALPHBT,4: VERY IMPORTANT
A1ALPHBT,5: ESSENTIAL
A1SITSTI,-9: NOT ASCERTAINED
A1SITSTI,1: NOT IMPORTANT
A1SITSTI,2: NOT VERY IMPORTANT
A1SITSTI,3: SOMEWHAT IMPORTANT
A1SITSTI,4: VERY IMPORTANT
A1SITSTI,5: ESSENTIAL
A1SENSTI,-9: NOT ASCERTAINED
A1SENSTI,1: NOT IMPORTANT
A1SENSTI,2: NOT VERY IMPORTANT
A1SENSTI,3: SOMEWHAT IMPORTANT
A1SENSTI,4: VERY IMPORTANT
A1SENSTI,5: ESSENTIAL
A1ENGLAN,-9: NOT ASCERTAINED
A1ENGLAN,1: NOT IMPORTANT
A1ENGLAN,2: NOT VERY IMPORTANT
A1ENGLAN,3: SOMEWHAT IMPORTANT
A1ENGLAN,4: VERY IMPORTANT
A1ENGLAN,5: ESSENTIAL
A1NOTDSR,-9: NOT ASCERTAINED
A1NOTDSR,1: NOT IMPORTANT
A1NOTDSR,2: NOT VERY IMPORTANT
A1NOTDSR,3: SOMEWHAT IMPORTANT
A1NOTDSR,4: VERY IMPORTANT
A1NOTDSR,5: ESSENTIAL
A1PENCIL,-9: NOT ASCERTAINED
A1PENCIL,1: NOT IMPORTANT
A1PENCIL,2: NOT VERY IMPORTANT
A1PENCIL,3: SOMEWHAT IMPORTANT
A1PENCIL,4: VERY IMPORTANT
A1PENCIL,5: ESSENTIAL
A1PRBLMS,-9: NOT ASCERTAINED
A1PRBLMS,1: NOT IMPORTANT
A1PRBLMS,2: NOT VERY IMPORTANT
A1PRBLMS,3: SOMEWHAT IMPORTANT
A1PRBLMS,4: VERY IMPORTANT
A1PRBLMS,5: ESSENTIAL
A1SHARE,-9: NOT ASCERTAINED
A1SHARE,1: NOT IMPORTANT
A1SHARE,2: NOT VERY IMPORTANT
A1SHARE,3: SOMEWHAT IMPORTANT
A1SHARE,4: VERY IMPORTANT
A1SHARE,5: ESSENTIAL
A1CNT20,-9: NOT ASCERTAINED
A1CNT20,1: NOT IMPORTANT
A1CNT20,2: NOT VERY IMPORTANT
A1CNT20,3: SOMEWHAT IMPORTANT
A1CNT20,4: VERY IMPORTANT
A1CNT20,5: ESSENTIAL
A1FNSHT,-9: NOT ASCERTAINED
A1FNSHT,1: NOT IMPORTANT
A1FNSHT,2: NOT VERY IMPORTANT
A1FNSHT,3: SOMEWHAT IMPORTANT
A1FNSHT,4: VERY IMPORTANT
A1FNSHT,5: ESSENTIAL
S6CCLSDE,-9: NOT ASCERTAINED
S6CCLSDE,1: NOT AT ALL
S6CCLSDE,2: SMALL EXTENT
S6CCLSDE,3: MODERATE EXTENT
S6CCLSDE,4: LARGE EXTENT
S6TT1CLA,-9: NOT ASCERTAINED
S6TT1CLA,-1: NOT APPLICABLE
S6TT1CLA,1: YES
S6TT1CLA,2: NO
S4TT1CLA,-9: NOT ASCERTAINED
S4TT1CLA,-1: NOT APPLICABLE
S4TT1CLA,1: YES
S4TT1CLA,2: NO
S2TT1CLA,-9: NOT ASCERTAINED
S2TT1CLA,-1: NOT APPLICABLE
S2TT1CLA,1: YES
S2TT1CLA,2: NO
A1FRMLIN,-9: NOT ASCERTAINED
A1FRMLIN,1: STRONGLY DISAGREE
A1FRMLIN,2: DISAGREE
A1FRMLIN,3: NEITHER AGREE NOR DISAGREE
A1FRMLIN,4: AGREE
A1FRMLIN,5: STRONGLY AGREE
A1ALPHBF,-9: NOT ASCERTAINED
A1ALPHBF,1: STRONGLY DISAGREE
A1ALPHBF,2: DISAGREE
A1ALPHBF,3: NEITHER AGREE NOR DISAGREE
A1ALPHBF,4: AGREE
A1ALPHBF,5: STRONGLY AGREE
A1LRNREA,-9: NOT ASCERTAINED
A1LRNREA,1: STRONGLY DISAGREE
A1LRNREA,2: DISAGREE
A1LRNREA,3: NEITHER AGREE NOR DISAGREE
A1LRNREA,4: AGREE
A1LRNREA,5: STRONGLY AGREE
A1TCHPRN,-9: NOT ASCERTAINED
A1TCHPRN,1: STRONGLY DISAGREE
A1TCHPRN,2: DISAGREE
A1TCHPRN,3: NEITHER AGREE NOR DISAGREE
A1TCHPRN,4: AGREE
A1TCHPRN,5: STRONGLY AGREE
A1PRCTWR,-9: NOT ASCERTAINED
A1PRCTWR,1: STRONGLY DISAGREE
A1PRCTWR,2: DISAGREE
A1PRCTWR,3: NEITHER AGREE NOR DISAGREE
A1PRCTWR,4: AGREE
A1PRCTWR,5: STRONGLY AGREE
A1HMWRK,-9: NOT ASCERTAINED
A1HMWRK,1: STRONGLY DISAGREE
A1HMWRK,2: DISAGREE
A1HMWRK,3: NEITHER AGREE NOR DISAGREE
A1HMWRK,4: AGREE
A1HMWRK,5: STRONGLY AGREE
A1READAT,-9: NOT ASCERTAINED
A1READAT,1: STRONGLY DISAGREE
A1READAT,2: DISAGREE
A1READAT,3: NEITHER AGREE NOR DISAGREE
A1READAT,4: AGREE
A1READAT,5: STRONGLY AGREE
A1CNTRLC,-9: NOT ASCERTAINED
A1CNTRLC,1: NO CONTROL
A1CNTRLC,2: SLIGHT CONTROL
A1CNTRLC,3: SOME CONTROL
A1CNTRLC,4: MODERATE CONTROL
A1CNTRLC,5: A GREAT DEAL OF CONTROL
A1ENJOY,-9: NOT ASCERTAINED
A1ENJOY,1: STRONGLY DISAGREE
A1ENJOY,2: DISAGREE
A1ENJOY,3: NEITHER AGREE NOR DISAGREE
A1ENJOY,4: AGREE
A1ENJOY,5: STRONGLY AGREE
A1MKDIFF,-9: NOT ASCERTAINED
A1MKDIFF,1: STRONGLY DISAGREE
A1MKDIFF,2: DISAGREE
A1MKDIFF,3: NEITHER AGREE NOR DISAGREE
A1MKDIFF,4: AGREE
A1MKDIFF,5: STRONGLY AGREE
A1TEACH,-9: NOT ASCERTAINED
A1TEACH,1: STRONGLY DISAGREE
A1TEACH,2: DISAGREE
A1TEACH,3: NEITHER AGREE NOR DISAGREE
A1TEACH,4: AGREE
A1TEACH,5: STRONGLY AGREE
A1CLSSIZ,-9: NOT ASCERTAINED
A1CLSSIZ,1: STRONGLY DISAGREE
A1CLSSIZ,2: DISAGREE
A1CLSSIZ,3: NEITHER AGREE NOR DISAGREE
A1CLSSIZ,4: AGREE
A1CLSSIZ,5: STRONGLY AGREE
A1NATEXM,-9: NOT ASCERTAINED
A1NATEXM,1: NOT TAKEN
A1NATEXM,2: TAKEN AND PASSED
A1NATEXM,"3: TAKEN, HAVE NOT YET PASSED OR AWAITING TEST RESULTS"
A1EARLY,-9: NOT ASCERTAINED
A1EARLY,1: YES
A1EARLY,2: NO
A1ELEM,-9: NOT ASCERTAINED
A1ELEM,1: YES
A1ELEM,2: NO
A1DEVLP,-9: NOT ASCERTAINED
A1DEVLP,1: YES
A1DEVLP,2: NO
A1MTHDRD,-9: NOT ASCERTAINED
A1MTHDRD,1: YES
A1MTHDRD,2: NO
A1MTHDMA,-9: NOT ASCERTAINED
A1MTHDMA,1: YES
A1MTHDMA,2: NO
A1MTHDSC,-9: NOT ASCERTAINED
A1MTHDSC,1: YES
A1MTHDSC,2: NO
A1RSPINT,-9: NOT ASCERTAINED
A1RSPINT,1: YES
A1RSPINT,2: NO
A1INTSRV,-9: NOT ASCERTAINED
A1INTSRV,1: YES
A1INTSRV,2: NO
A1STATCT,-9: NOT ASCERTAINED
A1STATCT,1: REGULAR OR STANDARD STATE CERTIFICATE OR ADVANCED PROF CERT
A1STATCT,2: CERTIFICATE WITHOUT COMPLETION OF PROBATIONARY PERIOD
A1STATCT,3: CERTIFICATE REQUIRING ADDITIONAL WORK TEACHING OR EXAM
